Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-08-25T17:46:17.629Z","You","Included in Pro","No","claude-4-sonnet",74255,"Included"
"2025-08-25T17:36:44.902Z","You","Included in Pro","No","claude-4-sonnet",1478828,"Included"
"2025-08-25T17:30:22.431Z","You","Included in Pro","No","claude-4-sonnet",258279,"Included"
"2025-08-25T17:25:43.864Z","You","Included in Pro","No","claude-4-sonnet",1791680,"Included"
"2025-08-25T17:17:15.422Z","You","Included in Pro","No","claude-4-sonnet",1353803,"Included"
"2025-08-25T17:06:11.506Z","You","Included in Pro","No","claude-4-sonnet",883806,"Included"
"2025-08-25T17:03:28.181Z","You","Included in Pro","No","claude-4-sonnet",145317,"Included"
"2025-08-25T17:02:22.317Z","You","Included in Pro","No","claude-4-sonnet",717515,"Included"
"2025-08-25T16:58:55.092Z","You","Included in Pro","No","claude-4-sonnet",282800,"Included"
"2025-08-25T16:53:25.283Z","You","Included in Pro","No","claude-4-sonnet",2732824,"Included"
"2025-08-25T16:48:46.879Z","You","Included in Pro","No","claude-4-sonnet",1546707,"Included"
"2025-08-25T16:38:23.625Z","You","Included in Pro","No","claude-4-sonnet",3285341,"Included"
"2025-08-25T16:26:48.297Z","You","Included in Pro","No","claude-4-sonnet",1961375,"Included"
"2025-08-25T16:20:29.964Z","You","Included in Pro","No","claude-4-sonnet",1436116,"Included"
"2025-08-25T16:12:19.469Z","You","Included in Pro","No","claude-4-sonnet",4555891,"Included"
"2025-08-25T16:10:07.105Z","You","Included in Pro","No","claude-4-sonnet",1597022,"Included"
"2025-08-25T15:48:39.739Z","You","Included in Pro","No","claude-4-sonnet",411283,"Included"
"2025-08-25T14:57:35.113Z","You","Included in Pro","No","claude-4-sonnet",2242371,"Included"
"2025-08-25T08:04:02.039Z","You","Included in Pro","No","claude-4-sonnet",511239,"Included"
"2025-08-25T07:57:12.157Z","You","Included in Pro","No","claude-4-sonnet",3260386,"Included"
"2025-08-25T07:51:04.314Z","You","Included in Pro","No","claude-4-sonnet",1546872,"Included"
"2025-08-25T07:46:36.545Z","You","Included in Pro","No","claude-4-sonnet",1803784,"Included"
"2025-08-25T07:38:17.165Z","You","Included in Pro","No","claude-4-sonnet",1081508,"Included"
"2025-08-25T07:31:19.742Z","You","Included in Pro","No","claude-4-sonnet",1232182,"Included"
"2025-08-25T07:26:40.275Z","You","Included in Pro","No","claude-4-sonnet",1401964,"Included"
"2025-08-25T07:17:06.575Z","You","Included in Pro","No","claude-4-sonnet",761438,"Included"
"2025-08-25T07:10:10.410Z","You","Included in Pro","No","claude-4-sonnet",1173100,"Included"
"2025-08-25T07:08:27.734Z","You","Included in Pro","No","claude-4-sonnet",94475,"Included"
"2025-08-25T07:04:23.806Z","You","Included in Pro","No","claude-4-sonnet",116522,"Included"
"2025-08-25T07:01:29.482Z","You","Included in Pro","No","claude-4-sonnet",105401,"Included"
"2025-08-25T07:01:06.948Z","You","Included in Pro","No","auto",1200,"Included"
"2025-08-25T06:56:46.749Z","You","Included in Pro","No","claude-4-sonnet",92709,"Included"
"2025-08-25T06:43:16.249Z","You","Included in Pro","No","claude-4-sonnet",91063,"Included"
"2025-08-20T07:50:23.927Z","You","Included in Pro","Yes","claude-4-sonnet",62465,"Included"
"2025-08-20T07:50:19.105Z","You","Included in Pro","Yes","claude-4-sonnet",60931,"Included"
"2025-08-20T07:38:44.406Z","You","Errored, Not Charged","Yes","claude-4-sonnet",59185,"Included"
"2025-08-20T07:38:40.778Z","You","Errored, Not Charged","Yes","claude-4-sonnet",37838,"Included"
"2025-08-20T07:38:40.051Z","You","Errored, Not Charged","Yes","claude-4-sonnet",0,"Included"
"2025-08-20T07:38:38.514Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-20T07:38:33.742Z","You","Included in Pro","Yes","claude-4-sonnet",37483,"Included"
"2025-08-20T07:38:29.184Z","You","Included in Pro","Yes","claude-4-sonnet",36315,"Included"
"2025-08-20T07:29:09.861Z","You","Errored, Not Charged","Yes","claude-4-sonnet",0,"Included"
"2025-08-20T07:29:06.307Z","You","Errored, Not Charged","Yes","claude-4-sonnet",7869,"Included"
"2025-08-20T07:29:02.060Z","You","Included in Pro","Yes","claude-4-sonnet",7719,"Included"
"2025-08-20T07:28:59.400Z","You","Included in Pro","Yes","claude-4-sonnet",7543,"Included"
"2025-08-20T06:58:13.912Z","You","Included in Pro","No","gpt-5",21967,"Included"
"2025-08-20T06:49:17.179Z","You","Included in Pro","No","gpt-5",71205,"Included"
"2025-08-20T06:48:30.672Z","You","Included in Pro","No","gpt-5",0,"Included"
"2025-08-03T07:29:32.004Z","You","Included in Pro","No","claude-4-sonnet",295833,"Included"
"2025-08-03T07:28:19.697Z","You","Included in Pro","No","claude-4-sonnet",141563,"Included"
"2025-08-03T07:22:12.889Z","You","Included in Pro","No","claude-4-sonnet",401383,"Included"
"2025-08-03T07:16:14.894Z","You","Included in Pro","No","claude-4-sonnet",188233,"Included"
"2025-08-03T06:54:52.689Z","You","Included in Pro","No","claude-4-sonnet",230329,"Included"
"2025-08-03T06:51:47.085Z","You","Included in Pro","No","claude-4-sonnet",217962,"Included"
"2025-08-03T06:48:44.104Z","You","Included in Pro","No","claude-4-sonnet",254679,"Included"
"2025-08-03T06:44:48.010Z","You","Included in Pro","No","claude-4-sonnet",144481,"Included"
"2025-08-03T06:42:32.309Z","You","Included in Pro","No","claude-4-sonnet",135850,"Included"
"2025-08-03T06:25:25.927Z","You","Included in Pro","No","claude-4-sonnet",198331,"Included"
"2025-08-03T06:11:46.333Z","You","Included in Pro","No","claude-4-sonnet",181884,"Included"
"2025-08-03T06:01:13.756Z","You","Included in Pro","No","claude-4-sonnet",9899,"Included"
"2025-08-03T05:58:14.969Z","You","Included in Pro","No","claude-4-sonnet",9084,"Included"
"2025-08-02T16:44:02.726Z","You","Included in Pro","No","claude-4-sonnet",145134,"Included"
"2025-08-02T16:42:22.934Z","You","Included in Pro","No","claude-4-sonnet",135427,"Included"
"2025-08-02T16:38:15.750Z","You","Included in Pro","No","claude-4-sonnet",195114,"Included"
"2025-08-02T16:29:48.277Z","You","Included in Pro","No","claude-4-sonnet",524255,"Included"
"2025-08-02T16:23:31.437Z","You","Included in Pro","Yes","claude-4-opus",51898,"Included"
"2025-08-02T16:23:21.980Z","You","Errored, Not Charged","Yes","claude-4-opus",50859,"Included"
"2025-08-02T16:23:14.104Z","You","Included in Pro","Yes","claude-4-opus",50313,"Included"
"2025-08-02T16:23:06.660Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:23:00.806Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:22:58.520Z","You","Errored, Not Charged","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:22:57.256Z","You","Errored, Not Charged","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:22:38.186Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:22:33.250Z","You","Included in Pro","Yes","claude-4-opus",48108,"Included"
"2025-08-02T16:19:59.521Z","You","Included in Pro","Yes","claude-4-opus",41551,"Included"
"2025-08-02T16:19:56.981Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:19:48.587Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:19:40.431Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:19:36.802Z","You","Included in Pro","Yes","claude-4-opus",39417,"Included"
"2025-08-02T16:17:17.224Z","You","Included in Pro","Yes","claude-4-opus",37552,"Included"
"2025-08-02T16:17:09.849Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:17:07.457Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:17:01.728Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:16:50.178Z","You","Included in Pro","Yes","claude-4-opus",0,"Included"
"2025-08-02T16:16:44.950Z","You","Included in Pro","Yes","claude-4-opus",34804,"Included"
"2025-08-02T16:10:21.152Z","You","Included in Pro","No","claude-4-sonnet",171543,"Included"
"2025-08-02T16:08:27.965Z","You","Included in Pro","No","claude-4-sonnet",443555,"Included"
"2025-08-02T16:06:29.290Z","You","Included in Pro","No","claude-4-sonnet",285418,"Included"
"2025-08-02T16:04:32.579Z","You","Included in Pro","No","claude-4-sonnet",277659,"Included"
"2025-08-02T15:58:07.038Z","You","Included in Pro","No","claude-4-sonnet",267406,"Included"
"2025-08-02T15:54:34.989Z","You","Included in Pro","No","claude-4-sonnet",384553,"Included"
"2025-08-02T15:14:27.430Z","You","Included in Pro","No","claude-4-sonnet",361952,"Included"
"2025-08-02T15:11:54.414Z","You","Included in Pro","Yes","claude-4-sonnet",115723,"Included"
"2025-08-02T15:11:54.045Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:11:42.609Z","You","Included in Pro","Yes","claude-4-sonnet",114889,"Included"
"2025-08-02T15:11:36.873Z","You","Included in Pro","Yes","claude-4-sonnet",114008,"Included"
"2025-08-02T15:11:27.822Z","You","Included in Pro","Yes","claude-4-sonnet",112529,"Included"
"2025-08-02T15:11:19.024Z","You","Included in Pro","Yes","claude-4-sonnet",112017,"Included"
"2025-08-02T15:11:14.228Z","You","Included in Pro","Yes","claude-4-sonnet",111154,"Included"
"2025-08-02T15:11:00.435Z","You","Included in Pro","Yes","claude-4-sonnet",110048,"Included"
"2025-08-02T15:10:52.661Z","You","Included in Pro","Yes","claude-4-sonnet",109207,"Included"
"2025-08-02T15:10:46.373Z","You","Included in Pro","Yes","claude-4-sonnet",108147,"Included"
"2025-08-02T15:10:42.681Z","You","Included in Pro","Yes","claude-4-sonnet",107711,"Included"
"2025-08-02T15:10:40.916Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:10:35.674Z","You","Included in Pro","Yes","claude-4-sonnet",106794,"Included"
"2025-08-02T15:10:34.841Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:10:32.969Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:10:28.775Z","You","Included in Pro","Yes","claude-4-sonnet",104418,"Included"
"2025-08-02T15:06:27.617Z","You","Included in Pro","Yes","claude-4-sonnet",103777,"Included"
"2025-08-02T15:06:20.370Z","You","Included in Pro","Yes","claude-4-sonnet",103240,"Included"
"2025-08-02T15:04:30.171Z","You","Included in Pro","Yes","claude-4-sonnet",102244,"Included"
"2025-08-02T15:04:26.775Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:04:22.750Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:03:58.180Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:03:49.137Z","You","Included in Pro","Yes","claude-4-sonnet",99066,"Included"
"2025-08-02T15:03:35.701Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:03:19.629Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:03:15.279Z","You","Included in Pro","Yes","claude-4-sonnet",94776,"Included"
"2025-08-02T15:01:43.691Z","You","Included in Pro","Yes","claude-4-sonnet",92822,"Included"
"2025-08-02T15:01:39.431Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:01:29.816Z","You","Included in Pro","Yes","claude-4-sonnet",91896,"Included"
"2025-08-02T15:01:25.829Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:01:18.879Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:01:06.980Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:00:59.081Z","You","Included in Pro","Yes","claude-4-sonnet",90095,"Included"
"2025-08-02T15:00:50.864Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:00:45.036Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T15:00:41.145Z","You","Included in Pro","Yes","claude-4-sonnet",86762,"Included"
"2025-08-02T14:55:41.078Z","You","Included in Pro","Yes","claude-4-sonnet",84753,"Included"
"2025-08-02T14:55:29.541Z","You","Included in Pro","Yes","claude-4-sonnet",84044,"Included"
"2025-08-02T14:55:24.298Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:55:11.871Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:55:02.600Z","You","Included in Pro","Yes","claude-4-sonnet",82056,"Included"
"2025-08-02T14:54:51.343Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:54:45.661Z","You","Included in Pro","Yes","claude-4-sonnet",78560,"Included"
"2025-08-02T14:54:43.989Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:54:39.886Z","You","Included in Pro","Yes","claude-4-sonnet",75552,"Included"
"2025-08-02T14:52:52.053Z","You","Included in Pro","Yes","claude-4-sonnet",74938,"Included"
"2025-08-02T14:52:48.496Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:41.321Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:29.709Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:19.930Z","You","Included in Pro","Yes","claude-4-sonnet",72734,"Included"
"2025-08-02T14:52:17.834Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:15.663Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:08.691Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:52:03.866Z","You","Included in Pro","Yes","claude-4-sonnet",69430,"Included"
"2025-08-02T14:47:54.426Z","You","Included in Pro","Yes","claude-4-sonnet",67868,"Included"
"2025-08-02T14:47:50.781Z","You","Included in Pro","Yes","claude-4-sonnet",67208,"Included"
"2025-08-02T14:36:09.539Z","You","Included in Pro","Yes","claude-4-sonnet",66360,"Included"
"2025-08-02T14:35:53.669Z","You","Included in Pro","Yes","claude-4-sonnet",65436,"Included"
"2025-08-02T14:35:49.707Z","You","Included in Pro","Yes","claude-4-sonnet",64558,"Included"
"2025-08-02T14:35:45.147Z","You","Included in Pro","Yes","claude-4-sonnet",63472,"Included"
"2025-08-02T14:35:40.797Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:35:09.051Z","You","Included in Pro","Yes","claude-4-sonnet",62751,"Included"
"2025-08-02T14:34:53.337Z","You","Included in Pro","Yes","claude-4-sonnet",59462,"Included"
"2025-08-02T14:34:50.339Z","You","Included in Pro","Yes","claude-4-sonnet",56180,"Included"
"2025-08-02T14:34:47.684Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:42.463Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:33.690Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:30.538Z","You","Included in Pro","Yes","claude-4-sonnet",53219,"Included"
"2025-08-02T14:34:25.101Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:20.042Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:13.453Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:34:09.887Z","You","Included in Pro","Yes","claude-4-sonnet",49644,"Included"
"2025-08-02T14:33:57.934Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:51.809Z","You","Included in Pro","Yes","claude-4-sonnet",46706,"Included"
"2025-08-02T14:33:46.923Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:41.345Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:37.235Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:32.196Z","You","Included in Pro","Yes","claude-4-sonnet",44144,"Included"
"2025-08-02T14:33:31.184Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:29.850Z","You","Included in Pro","Yes","claude-4-sonnet",0,"Included"
"2025-08-02T14:33:26.640Z","You","Included in Pro","Yes","claude-4-sonnet",13116,"Included"
"2025-07-31T18:29:49.202Z","You","Included in Pro","No","auto",281052,"Included"
